GeneSymbol,ArrayNostre,GSE13432_5d,GSE13432_35d,GSE51080_10d,GSE55934_10d_Adren,GSE98132_3d_Adren,GSE108077_7d,GSE110420_10d
43891,#N/A,2.69,#N/A,#N/A,-28.89,3.1046132,8.270942567,#N/A
43891,#N/A,2.69,#N/A,#N/A,-28.89,3.1046132,8.270942567,#N/A
43892,#N/A,#N/A,#N/A,#N/A,-4.39,#N/A,#N/A,#N/A
43893,#N/A,#N/A,#N/A,#N/A,3.38,#N/A,#N/A,#N/A
43895,#N/A,#N/A,#N/A,#N/A,2.28,#N/A,2.320691792,#N/A
43895,#N/A,#N/A,#N/A,#N/A,2.28,#N/A,2.320691792,#N/A
43898,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.586175272,#N/A
44078,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.265880552,#N/A
44080,#N/A,-2.47,-2.11,#N/A,#N/A,#N/A,-13.69206637,#N/A
44080,#N/A,-2.47,-2.11,#N/A,#N/A,#N/A,-13.69206637,#N/A
44081,#N/A,#N/A,#N/A,#N/A,2.35,#N/A,#N/A,#N/A
44082,#N/A,#N/A,#N/A,#N/A,2.1,#N/A,#N/A,#N/A
44083,#N/A,#N/A,#N/A,#N/A,3,#N/A,54.28008589,#N/A
44083,#N/A,#N/A,#N/A,#N/A,3,#N/A,54.28008589,#N/A
44084,#N/A,#N/A,#N/A,#N/A,2.03,#N/A,#N/A,#N/A
44085,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.22035789,#N/A
0610005C13Rik,#N/A,#N/A,#N/A,#N/A,-2.41,#N/A,#N/A,#N/A
0610007P14Rik,#N/A,#N/A,#N/A,#N/A,-3.43,#N/A,#N/A,#N/A
0610009B22Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.537767024,#N/A
0610009O20Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.368133597,#N/A
0610010B08Rik,#N/A,-2.16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
0610010F05Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.001927468,#N/A
0610011F06Rik,#N/A,#N/A,#N/A,#N/A,-2.25,#N/A,#N/A,#N/A
0610012G03Rik,#N/A,2.07,#N/A,#N/A,2.2,2.09427343,4.203863594,#N/A
0610031O16Rik,#N/A,#N/A,#N/A,#N/A,-38.95,#N/A,#N/A,#N/A
0610040J01Rik,#N/A,#N/A,#N/A,#N/A,-4.7,#N/A,#N/A,#N/A
1110001J03Rik,2.19,2.01,#N/A,#N/A,#N/A,2.405634877,5.388798818,#N/A
1110007C09Rik,#N/A,#N/A,#N/A,#N/A,2.82,#N/A,#N/A,#N/A
1110008F13Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.586828723,#N/A
1110008P14Rik,#N/A,2.79,#N/A,#N/A,3.14,2.30755573,10.03886875,2.16
1110032A03Rik,#N/A,2.21,2.42,#N/A,2.39,#N/A,2.398301977,#N/A
1110038B12Rik,#N/A,#N/A,#N/A,#N/A,-6.89,#N/A,#N/A,#N/A
1110038F14Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.601249965,#N/A
1110051M20Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.330705692,#N/A
1110065P20Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.384795625,#N/A
1190002N15Rik,#N/A,-2.38,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1190005I06Rik,#N/A,#N/A,#N/A,2.4,#N/A,2.154471544,#N/A,#N/A
1300002E11Rik,#N/A,#N/A,#N/A,#N/A,2.31,#N/A,#N/A,#N/A
1300017J02Rik,#N/A,#N/A,#N/A,#N/A,-44.24,#N/A,#N/A,#N/A
1500011B03Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.061831989,#N/A
1500011K16Rik,#N/A,#N/A,#N/A,#N/A,2.88,#N/A,#N/A,#N/A
1500012F01Rik,#N/A,#N/A,#N/A,#N/A,-2.64,#N/A,#N/A,#N/A
1500015O10Rik,#N/A,#N/A,#N/A,-2.14,#N/A,#N/A,#N/A,#N/A
1600002H07Rik,#N/A,#N/A,#N/A,#N/A,-7.29,#N/A,-2.775372889,#N/A
1600014C10Rik,#N/A,#N/A,#N/A,#N/A,-2.15,#N/A,#N/A,#N/A
1700001C19Rik,#N/A,#N/A,#N/A,#N/A,-3.19,#N/A,#N/A,#N/A
1700001L05Rik,#N/A,#N/A,#N/A,#N/A,-2.02,#N/A,#N/A,#N/A
1700003C15Rik,-2.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1700003E16Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.681183849,#N/A
1700008J07Rik,#N/A,#N/A,#N/A,#N/A,2.37,#N/A,#N/A,#N/A
1700011H14Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,21.13401305,#N/A
1700012D14Rik,#N/A,#N/A,#N/A,#N/A,2.28,#N/A,#N/A,#N/A
1700016C15Rik,#N/A,#N/A,#N/A,-2.07,#N/A,#N/A,#N/A,#N/A
1700016D06Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.256919841,#N/A
1700017B05Rik,2.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1700019D03Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.398043505,#N/A
1700020I14Rik,#N/A,#N/A,#N/A,#N/A,2.7,#N/A,#N/A,#N/A
1700020L24Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-2.410060235,#N/A
1700021F05Rik,#N/A,2.08,#N/A,#N/A,2.31,2.696569361,3.018785653,#N/A
1700023H06Rik,#N/A,#N/A,#N/A,#N/A,-2.37,#N/A,#N/A,#N/A
1700024P16Rik,#N/A,#N/A,#N/A,#N/A,-2.4,-2.171742556,#N/A,#N/A
1700025G04Rik,#N/A,#N/A,#N/A,#N/A,2.61,#N/A,#N/A,#N/A
1700028E10Rik,#N/A,#N/A,#N/A,#N/A,-2.03,#N/A,#N/A,#N/A
1700029J07Rik,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,-3.837446606,#N/A
1700037H04Rik,#N/A,2.06,#N/A,2.27,17.37,#N/A,5.119255962,2.03
1700040L02Rik,2.82,#N/A,#N/A,#N/A,2.93,2.423110145,34.60758217,#N/A
1700047I17Rik2,#N/A,#N/A,#N/A,#N/A,6.83,#N/A,#N/A,#N/A
1700056E22Rik,#N/A,#N/A,#N/A,2.11,#N/A,2.110414708,#N/A,#N/A
1700061E17Rik,#N/A,#N/A,#N/A,#N/A,-2.75,#N/A,#N/A,#N/A
1700063A18Rik,#N/A,#N/A,#N/A,#N/A,-2.51,#N/A,#N/A,#N/A
