Anon_GS,GSE_A,GSE_B,GSE_C,GSE_D,GSE_E,GSE_F,GSE_G,GSE_H,,,,,,
1a,0,1,0,0,1,1,1,0,,,,,,
2a,0,1,1,0,1,0,1,0,,,,,,
3a,0,0,0,1,0,1,0,0,,,,,,
4a,0,0,0,0,1,0,0,0,,,,,,
5a,0,0,1,0,0,1,0,0,,,,,,
6a,1,1,1,1,1,1,1,1,,,,,,
7a,0,1,0,0,1,1,1,1,,,,,,
8a,1,0,0,1,0,1,1,0,,,,,,
9a,0,1,0,0,1,1,1,0,,,,,,
10a,0,0,1,0,0,0,0,0,,,,,,
11a,0,1,0,1,1,0,1,1,,,,,,
12a,0,0,0,0,1,0,1,0,,,,,,
13a,0,0,0,0,0,1,1,0,,,,,,
14a,0,1,1,1,0,1,1,0,,,,,,
15a,1,1,0,0,1,0,0,0,,,,,,
16a,1,1,0,0,0,1,1,0,,,,,,
17a,0,1,1,1,1,1,1,1,,,,,,
18a,0,0,0,1,0,1,0,0,,,,,,
19a,0,0,0,0,1,0,0,0,,,,,,
20a,1,1,1,1,0,1,1,1,,,,,,
21a,0,1,0,1,0,1,1,1,,,,,,
22a,1,1,1,0,1,1,1,0,,,,,,
23a,0,0,0,1,1,0,0,0,,,,,,
24a,0,0,0,0,1,0,0,0,,,,,,
25a,1,0,0,0,0,1,1,0,,,,,,
26a,1,1,1,1,1,0,1,1,,,,,,
27a,1,1,0,0,0,0,0,1,,,,,,
28a,0,1,1,0,1,0,0,0,,,,,,
29a,0,0,0,1,0,0,0,0,,,,,,
30a,0,0,0,0,1,0,1,0,,,,,,
31a,0,0,0,0,0,1,0,0,,,,,,
32a,1,0,0,0,1,0,1,1,,,,,,
33a,1,1,0,1,1,0,1,0,,,,,,
34a,0,1,1,0,0,1,1,0,,,,,,
35a,0,0,0,0,1,0,0,0,,,,,,
36a,0,0,0,0,0,1,1,0,,,,,,
37a,1,0,0,1,1,1,1,1,,,,,,
38a,0,0,0,0,1,0,0,1,,,,,,
39a,1,1,1,0,1,1,1,1,,,,,,
40a,0,1,0,0,1,1,1,0,,,,,,
41a,1,1,1,1,1,1,1,0,,,,,,
42a,0,0,0,1,0,0,0,0,,,,,,
43a,0,0,0,1,1,1,1,0,,,,,,
44a,1,1,1,1,1,1,1,1,,,,,,
45a,0,0,0,1,1,0,1,1,,,,,,
46a,1,1,0,0,1,1,1,1,,,,,,
47a,1,1,1,1,0,1,1,1,,,,,,
48a,0,0,0,1,0,0,0,0,,,,,,
49a,0,0,0,0,1,0,0,0,,,,,,
50a,0,0,0,0,0,1,1,0,,,,,,
51a,1,1,1,1,1,1,1,1,,,,,,
52a,0,0,0,0,1,0,1,1,,,,,,
53a,1,0,0,0,0,1,0,0,,,,,,
54a,0,0,0,1,0,0,0,0,,,,,,
55a,0,0,0,0,0,1,0,0,,,,,,
56a,0,0,0,0,0,1,1,0,,,,,,
57a,1,1,0,0,1,1,1,0,,,,,,
58a,0,1,0,0,0,0,0,0,,,,,,
59a,0,0,0,0,1,1,0,0,,,,,,
60a,1,1,1,1,1,1,1,1,,,,,,
61a,1,1,1,0,1,0,1,1,,,,,,
62a,1,1,1,0,1,1,1,0,,,,,,
63a,0,0,0,0,1,0,0,0,,,,,,
64a,1,0,0,1,0,1,1,1,,,,,,
65a,0,1,1,0,1,1,1,1,,,,,,
66a,0,1,1,1,0,0,1,0,,,,,,
67a,0,0,0,1,0,0,0,0,,,,,,
68a,0,0,0,0,1,0,0,0,,,,,,
69a,0,0,0,0,0,1,0,0,,,,,,
70a,0,1,0,1,1,1,1,1,,,,,,
71a,1,0,0,0,1,0,0,0,,,,,,
72a,0,0,0,1,0,0,0,0,,,,,,
73a,0,0,0,0,1,0,0,0,,,,,,
74a,0,0,0,0,0,1,0,0,,,,,,
75a,0,0,0,0,0,0,1,0,,,,,,
76a,1,1,1,1,1,1,1,1,,,,,,
77a,1,0,0,0,1,0,0,1,,,,,,
78a,0,1,0,0,0,0,1,0,,,,,,
79a,0,0,0,1,1,0,0,0,,,,,,
80a,0,0,0,0,1,0,0,0,,,,,,
81a,1,0,0,1,1,1,1,0,,,,,,
82a,1,1,1,1,1,1,1,1,,,,,,
83a,0,1,0,0,1,1,1,1,,,,,,
84a,1,1,0,0,1,0,0,1,,,,,,
85a,0,1,0,0,1,0,0,0,,,,,,
86a,0,1,1,0,1,1,1,0,,,,,,
87a,1,1,0,1,0,0,1,0,,,,,,
88a,0,0,0,0,1,0,0,0,,,,,,
89a,1,0,0,1,0,1,1,1,,,,,,
90a,0,0,0,0,1,1,1,0,,,,,,
91a,1,1,1,0,1,1,1,1,,,,,,
92a,1,1,1,1,1,0,1,1,,,,,,
93a,0,0,1,0,1,1,1,0,,,,,,
94a,0,0,0,0,0,0,1,0,,,,,,
95a,0,1,0,0,1,0,0,0,,,,,,
96a,0,1,1,0,0,1,1,0,,,,,,
97a,0,0,0,0,1,0,0,0,,,,,,
98a,1,1,1,1,0,1,1,1,,,,,,
99a,1,0,1,1,0,1,1,1,,,,,,
100a,1,1,1,1,1,0,0,1,,,,,,
