GeneSymbol,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE74899_14d,GSE86338_Adrenergic,GSE86338_Cold,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d,GSE148361
Cpt1b,1,1,1,1,1,1,1,1,1,1
Acaa2,1,1,1,1,1,1,1,1,1,1
Acadvl,1,1,1,1,1,1,1,1,1,1
Acot11,1,1,1,1,1,1,1,1,1,1
Aspg,1,1,1,1,1,1,1,1,1,1
Chchd10,1,1,1,1,1,1,1,1,1,1
Cidea,1,1,1,1,1,1,1,1,1,1
Cox7a1,1,1,1,1,1,1,1,1,1,1
Cox8b,1,1,1,1,1,1,1,1,1,1
Elovl3,1,1,1,1,1,1,1,1,1,1
Fam57b,1,1,1,1,1,1,1,1,1,1
Gk,1,1,1,1,1,1,1,1,1,1
Lace1,1,1,1,1,1,1,1,1,1,1
Ldhb,1,1,1,1,1,1,1,1,1,1
Letm1,1,1,1,1,1,1,1,1,1,1
Letmd1,1,1,1,1,1,1,1,1,1,1
Otop1,1,1,1,1,1,1,1,1,1,1
Pank1,1,1,1,1,1,1,1,1,1,1
Plin5,1,1,1,1,1,1,1,1,1,1
S100b,1,1,1,1,1,1,1,1,1,1
Slc25a20,1,1,1,1,1,1,1,1,1,1
Ttc25,1,1,1,1,1,1,1,1,1,1
Ucp1,1,1,1,1,1,1,1,1,1,1
Sucla2,1,1,0,1,1,1,1,1,1,1
Aco2,1,1,0,1,1,1,1,1,1,1
Adck3,1,1,1,1,1,0,1,1,1,1
Coasy,1,1,1,1,1,0,1,1,1,1
Dlat,1,1,1,1,1,0,1,1,1,1
Etfdh,1,1,1,1,1,0,1,1,1,1
Fam195a,1,1,0,1,1,1,1,1,1,1
Gpd2,1,1,1,1,1,0,1,1,1,1
Gys2,1,1,1,1,1,0,1,1,1,1
Hadha,1,1,1,1,1,0,1,1,1,1
Idh3a,1,1,1,1,1,0,1,1,1,1
Mtfp1,1,1,1,0,1,1,1,1,1,1
Pdhx,1,1,1,1,1,0,1,1,1,1
Pdk4,1,1,1,1,1,1,0,1,1,1
Pgam1,1,1,0,1,1,1,1,1,1,1
Suclg1,1,1,0,1,1,1,1,1,1,1
Uqcr10,1,1,1,1,1,1,1,1,0,1
Uqcrc1,1,1,0,1,1,1,1,1,1,1
Cycs,1,1,1,1,1,1,1,1,1,0
Fbp2,1,1,1,1,1,1,1,1,1,0
Pdhb,1,1,1,1,1,1,1,1,1,0
Acaa1b,1,1,1,0,1,1,1,1,0,1
Acsf2,0,1,1,1,1,0,1,1,1,1
Acsl5,1,1,0,1,1,0,1,1,1,1
Adcy10,0,0,1,1,1,1,1,1,1,1
Adtrp,1,1,1,0,1,0,1,1,1,1
Apoo,1,1,0,1,1,0,1,1,1,1
Cyc1,1,0,0,1,1,1,1,1,1,1
Cyp2u1,1,1,1,1,1,0,0,1,1,1
Dhrs7,1,1,0,1,1,0,1,1,1,1
Dio2,0,0,1,1,1,1,1,1,1,1
Gfm1,1,1,0,1,1,0,1,1,1,1
Gpd1,1,0,1,1,1,0,1,1,1,1
Impa2,1,1,0,1,1,0,1,1,1,1
Ndufb6,1,0,0,1,1,1,1,1,1,1
P2rx5,1,0,1,1,1,0,1,1,1,1
Paqr9,1,1,1,1,1,0,0,1,1,1
Pfkl,1,1,0,1,1,0,1,1,1,1
Pgk1,1,1,0,1,1,0,1,1,1,1
Ppara,1,1,1,1,1,0,0,1,1,1
Ppargc1a,1,1,1,1,0,1,0,1,1,1
Ppargc1b,1,1,1,1,1,0,0,1,1,1
Ppif,1,1,0,1,1,0,1,1,1,1
Sdhd,1,1,0,1,1,0,1,1,1,1
Slc16a1,1,1,0,1,1,0,1,1,1,1
Slc25a42,0,1,1,1,1,0,1,1,1,1
Slc27a2,1,1,1,1,1,0,0,1,1,1
Slc2a5,1,0,0,1,1,1,1,1,1,1
Tlcd2,1,0,1,1,1,0,1,1,1,1
Uqcrfs1,1,0,0,1,1,1,1,1,1,1
Nnat,1,1,1,0,0,1,1,1,1,1
Decr1,1,1,1,1,1,1,1,1,0,0
Fabp3,1,1,1,1,1,1,1,1,0,0
Nudt7,1,1,1,1,1,0,1,1,1,0
Sod2,1,1,1,1,1,0,1,1,1,0
Hadhb,1,1,0,1,1,1,1,1,1,0
Ndufaf4,1,1,0,1,1,1,1,1,1,0
Acadl,1,1,0,1,1,1,1,1,1,0
Phospho1,1,0,0,0,1,1,1,1,1,1
Chkb,1,1,1,0,1,0,0,1,1,1
Acacb,1,1,0,1,1,0,0,1,1,1
Adra1a,0,0,0,1,1,1,1,1,1,1
Aspa,1,1,0,1,1,0,0,1,1,1
Atpaf2,1,0,0,1,1,0,1,1,1,1
Ciapin1,1,1,0,1,1,0,0,1,1,1
Cox5a,0,0,0,1,1,1,1,1,1,1
Cox6b1,1,0,0,1,1,1,1,1,0,1
Cpn2,0,1,1,0,1,0,1,1,1,1
Cs,1,1,0,1,1,0,1,1,0,1
Cyp2b10,0,0,1,0,1,1,1,1,1,1
Ddt,1,0,0,1,1,1,1,1,0,1
Dlst,1,0,0,1,1,0,1,1,1,1
Dnaja3,1,1,0,1,1,0,1,1,0,1
Gnao1,0,0,1,1,1,0,1,1,1,1
Kcnk3,1,0,0,1,1,0,1,1,1,1
Lyrm5,1,1,0,1,1,0,1,1,0,1
Mcee,1,0,0,1,1,1,1,1,0,1
Mpzl2,1,1,0,0,1,0,1,1,1,1
Ndufb8,1,0,0,1,1,1,1,1,0,1
Ndufs8,1,0,0,1,1,0,1,1,1,1
Ogdh,1,1,0,1,1,0,1,1,0,1
Ppp1r3b,0,0,0,1,1,1,1,1,1,1
Rbpms2,1,1,1,0,1,0,1,1,0,1
Rmdn3,1,1,0,0,1,0,1,1,1,1
Slc25a34,0,0,1,0,1,1,1,1,1,1
Slc25a39,1,1,0,1,1,0,1,1,0,1
Slc25a51,1,1,0,1,1,0,1,1,0,1
Slc4a4,1,1,1,1,1,0,0,1,0,1
Tuba8,1,0,1,0,1,0,1,1,1,1
