,ArrayNostre,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE55934_Adre_10d,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d
Elovl3,1,1,1,1,0,1,1,1
Gm44805,0,0,0,0,0,1,0,0
Aadac,0,0,0,1,0,1,0,0
Ucp1,1,1,1,1,1,1,1,1
Fabp3,0,1,1,1,0,1,1,0
Slc25a34,1,0,0,1,0,1,1,1
Apoc2,0,0,0,1,1,1,1,0
Acaa1b,1,1,1,1,1,1,1,0
Chchd10,1,1,1,1,0,1,1,1
Cox7a1,1,1,1,1,1,1,1,1
Elovl4,0,0,0,0,0,1,1,0
Rsph4a,0,0,0,0,0,1,0,0
Hist1h4n,0,0,0,0,0,1,0,0
Tmem52,0,0,0,0,0,1,1,0
Lmod3,0,0,0,0,0,1,1,0
Cox8b,1,1,1,1,1,1,1,1
Mup3,0,0,0,1,1,1,1,0
Mb,0,0,1,0,1,1,1,0
Pigr,0,0,0,0,1,1,1,0
Gm6166,0,0,0,0,0,1,0,0
Hist1h1d,0,0,0,0,0,1,0,0
Apoc4,0,0,0,1,1,1,0,0
Gm9696,0,0,0,0,0,1,1,0
Ppp1r3b,1,0,0,0,0,1,1,1
Orm2,0,0,0,0,1,1,0,0
Gys2,1,1,1,1,1,1,1,1
Gm5523,0,0,0,0,1,1,0,0
Gm28438,0,0,0,0,0,1,0,0
BC023105,1,0,0,0,0,1,0,0
Phospho1,1,1,0,0,1,1,1,1
Hist2h3c2,0,0,0,0,0,1,0,0
Slc47a1,0,0,0,0,1,1,1,0
6430571L13Rik,0,0,0,0,0,1,1,0
Spp1,0,0,0,0,1,1,0,0
Ttc25,1,1,1,1,1,1,1,1
Alpl,1,0,0,0,0,1,1,0
Cyp2b10,1,0,0,1,0,1,1,1
Adtrp,1,1,1,1,0,1,1,1
Hephl1,0,1,0,0,0,1,1,1
S100a3,0,0,0,0,0,1,0,0
Cend1,0,0,0,0,0,1,1,0
Retsat,0,1,1,1,0,1,1,1
Tinag,0,0,0,0,0,1,1,0
Arhgef19,0,0,0,0,1,1,1,0
Reep6,1,1,0,0,1,1,1,0
Nabp1,0,1,1,0,1,1,0,0
Gm10364,0,0,0,0,0,1,0,0
Tlcd2,1,1,0,1,1,1,1,1
Gm13784,0,0,0,0,0,1,1,0
Gk,1,1,1,1,0,1,1,1
Acly,0,1,0,0,1,1,1,1
Aldh3b2,1,0,0,1,0,1,1,0
Hist1h4i,0,0,0,0,0,1,1,0
Sptbn5,0,0,0,0,0,1,1,0
Mfsd4b1,0,0,0,0,0,1,1,0
Ociad2,0,0,0,0,1,1,1,0
Adssl1,0,0,0,0,1,1,1,0
Acadl,0,1,1,0,1,1,1,1
Gm16089,0,0,0,0,1,1,0,0
Slc25a20,1,1,1,1,1,1,1,1
Gm17147,0,0,0,0,0,1,1,0
Gm13772,0,0,0,0,0,1,1,0
Gchfr,0,0,0,1,1,1,1,0
Tmem79,0,1,1,0,1,1,1,1
Igsf21,0,0,0,1,0,1,1,1
Gm14057,0,0,0,0,1,1,1,0
Aldh3b3,1,0,0,0,0,1,0,0
Fam195a,1,1,1,0,1,1,1,1
Ankrd9,0,1,0,0,1,1,1,0
Gm10642,0,0,0,0,0,1,0,0
Dlat,1,1,1,1,1,1,1,1
Tekt1,0,0,0,0,0,1,0,0
Foxo6,0,0,0,0,0,1,0,0
Hsd17b12,0,1,0,0,0,1,1,1
Acoxl,0,0,0,1,0,1,1,0
Ddo,0,1,1,0,1,1,1,0
Rap1gap,1,0,0,0,0,1,1,0
Cox6a2,0,0,0,0,0,1,0,0
Vipr2,0,0,0,0,0,1,0,0
Mid1ip1,0,0,0,0,0,1,0,0
Hist2h3c1,0,0,0,0,0,1,0,0
Cycs,0,1,1,1,1,1,1,1
Fa2h,0,0,0,0,0,1,0,0
Etfdh,1,1,1,1,1,1,1,1
Gpd1,1,1,0,1,1,1,1,1
Acadvl,1,1,1,1,1,1,1,1
Traf4,1,0,0,0,0,1,1,1
Gm3671,0,0,0,0,0,1,0,0
Tmem82,1,0,0,0,1,1,1,0
Aco2,1,1,1,0,1,1,1,1
Lipg,1,0,0,0,1,1,1,1
Col27a1,0,0,1,0,0,1,1,0
Myh7b,0,0,0,0,0,1,1,0
Endog,0,1,1,0,0,1,1,0
Gm10327,0,0,0,0,1,1,0,0
Fabp5,0,1,0,0,1,1,1,1
Mogat2,0,0,0,0,0,1,1,0
Alas1,0,0,0,0,1,1,1,0
Poln,0,1,0,1,1,1,1,0
Sec14l4,1,0,0,0,1,1,1,1
Mc5r,0,0,0,0,0,1,1,0
P2rx5,1,1,0,1,1,1,1,1
Gm10053,0,0,0,0,1,1,1,1
Acsf2,1,0,1,1,0,1,1,1
Hadha,1,1,1,1,1,1,1,1
Thrsp,0,0,0,0,1,1,1,0
Apoo,1,1,1,0,1,1,1,1
Dhrs7,1,1,1,0,1,1,1,1
Decr1,0,1,1,1,1,1,1,0
Hpdl,1,0,0,0,1,1,1,1
Cyp51,0,0,0,0,1,1,0,0
Esrrg,1,0,0,1,1,1,1,0
Rgs2,0,0,0,0,1,1,1,0
Hist1h3e,0,0,0,0,0,1,0,0
Pgam1,1,1,1,0,0,1,1,1
Hspa9,0,1,0,0,0,1,1,0
Fam186a,0,0,0,0,0,1,0,0
Fuom,0,1,0,0,0,1,1,0
Uqcrfs1,1,1,0,0,1,1,1,1
Car2,1,0,0,0,1,1,1,0
Rundc3a,0,0,0,0,0,1,1,0
Prg4,0,0,0,0,1,1,0,0
Xrcc6,1,0,0,0,1,1,1,1
Gm2308,0,0,0,0,0,1,0,0
Pla2g2e,0,0,0,1,0,1,1,0
Hoxa4,0,0,0,0,0,1,1,0
Gm20768,0,0,0,0,0,1,0,0
Mapk13,0,0,0,0,0,1,0,0
Kcnk3,1,1,0,0,1,1,1,1
Acaa2,1,1,1,1,0,1,1,1
Aifm3,0,0,0,0,0,1,0,0
Cox5a,1,0,0,0,1,1,1,1
Hist1h4h,0,1,0,0,0,1,1,0
Prdx3,0,1,0,0,1,1,1,1
Pdhx,1,1,1,1,1,1,1,1
Cyc1,1,1,0,0,1,1,1,1
Gm13292,0,0,0,0,0,1,0,0
Olfr1396,0,0,0,0,0,1,0,0
Eci1,0,1,0,0,1,1,1,0
Uqcrc2,0,1,1,0,1,1,1,0
Ndufb6,1,1,0,0,1,1,1,1
Hacl1,0,1,0,1,0,1,1,0
Ak1,0,0,0,0,1,1,1,0
Cpt2,0,1,1,0,1,1,1,1
Hist1h3f,0,0,0,0,0,1,0,0
Mpc2,0,0,0,0,1,1,1,1
Acadm,0,1,1,0,1,1,1,0
Itpka,0,0,0,0,0,1,0,0
Lrrc9,0,0,0,0,0,1,1,0
Ephx2,0,0,0,0,0,1,1,0
Gm12231,0,0,0,0,0,1,0,0
Gm4841,0,0,0,0,0,1,0,0
Pafah2,1,1,1,0,1,1,1,0
Gm8565,0,0,0,0,0,1,0,0
Hadhb,0,1,1,0,1,1,1,1
Scd2,0,1,0,0,1,1,1,0
Sycp3,0,0,1,0,0,1,1,0
Unc5a,0,0,0,0,0,1,0,0
Cox7b,0,0,0,0,1,1,1,0
Pgk1,1,1,1,0,1,1,1,1
Cspg5,0,0,0,0,0,1,0,0
Gapdh,0,1,0,0,1,1,1,0
Fam69b,0,1,0,1,0,1,1,0
Mpc1,0,0,0,0,1,1,1,1
Dlst,1,1,0,0,1,1,1,1
Hydin,0,0,0,0,0,1,0,0
Clstn3,0,1,0,1,0,1,1,0
Ppp1r3c,0,1,0,0,1,1,0,0
Hdhd3,0,0,0,0,0,1,0,0
Sucla2,1,1,1,0,1,1,1,1
Letm1,1,1,1,1,1,1,1,1
Oplah,1,1,0,1,0,1,1,0
