GeneSymbol,ArrayNostre,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE55934_Adre_10d,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d
1700003C15Rik,1,0,0,0,0,0,0,0
9930111J21Rik2,1,0,0,0,0,0,0,0
Abca9,1,0,0,0,0,0,0,0
Adamts5,1,1,0,0,0,1,1,1
Adgre1,1,0,0,0,1,0,0,0
Adgre4,1,0,0,0,1,0,0,0
AF067061,1,0,0,0,0,0,0,0
AF357355,1,0,0,0,0,0,0,0
AF357425,1,0,0,0,0,0,0,0
AF357428,1,0,0,0,0,0,0,0
Alox5ap,1,0,0,0,0,0,0,0
Anxa8,1,0,0,1,0,1,1,0
Aoah,1,0,0,0,0,0,0,0
Ap1s2,1,1,0,0,0,0,0,0
Arhgap20,1,0,0,0,0,0,0,0
Aspn,1,1,0,0,0,0,0,0
B4galt6,1,0,0,0,0,0,1,0
Bank1,1,0,0,0,0,0,0,0
BC023105,1,0,0,0,0,0,0,0
Bcl2a1a,1,1,0,0,0,0,0,0
C1qa,1,0,1,0,0,0,0,0
C1qb,1,0,1,0,1,0,0,0
Calb1,1,0,0,0,0,0,0,0
Ccl2,1,0,0,0,0,1,0,0
Ccl21a,1,0,1,0,0,0,0,0
Ccl21c,1,0,1,0,0,0,0,0
Ccl7,1,0,0,0,0,0,1,0
Ccl8,1,1,0,0,0,0,0,1
Ccr2,1,1,1,1,0,0,0,0
Ccr5,1,0,0,0,0,0,0,0
Cd180,1,0,0,0,0,0,0,0
Cd209a,1,1,0,0,0,0,0,1
Cd209f,1,0,0,0,0,0,0,0
Cd209g,1,0,1,0,0,0,0,0
Cd48,1,1,0,0,0,0,0,0
Ces2g,1,0,0,0,1,0,0,0
Chrdl1,1,1,0,0,0,1,1,1
Clca4b,1,0,0,0,0,0,0,0
Clec11a,1,0,0,0,0,0,0,0
Clec12a,1,0,0,0,1,0,0,1
Clec3b,1,0,0,0,0,0,0,0
Clec4a3,1,1,0,0,1,0,0,0
Cma1,1,0,0,0,0,0,0,0
Col1a1,1,0,0,0,0,0,1,0
Col1a2,1,0,0,0,0,0,1,0
Col3a1,1,0,0,0,0,0,1,0
Col5a1,1,0,0,0,0,0,1,0
Col5a2,1,0,0,0,0,0,1,0
Col6a1,1,0,0,0,0,0,1,0
Col6a2,1,0,0,0,0,0,1,0
Col6a3,1,0,0,0,0,0,1,0
Cpa3,1,1,0,0,0,0,0,0
Cpxm1,1,0,1,0,0,0,0,0
Ctsc,1,0,1,0,1,0,1,0
Ctsh,1,1,0,0,1,0,0,0
Ctss,1,1,0,0,1,0,0,0
Cyth4,1,0,1,0,0,0,0,0
Dclk1,1,1,0,0,0,0,0,0
Ddx60,1,1,0,0,1,0,0,0
DQ267100,1,0,0,0,0,0,0,0
Efemp1,1,1,0,0,0,0,1,0
Evi2a,1,1,0,0,0,0,0,0
Evi2b,1,1,0,0,0,0,0,0
F13a1,1,0,0,0,0,0,0,0
Fam111a,1,1,0,0,0,0,0,0
Fam171b,1,0,0,0,0,0,0,0
Fap,1,1,0,0,0,0,0,0
Fbn1,1,1,0,0,0,1,0,0
Fcer1g,1,0,0,0,0,0,0,0
Fcgr1,1,0,0,0,0,0,0,0
Fcrls,1,0,0,0,0,1,0,0
Flrt2,1,0,0,0,0,1,0,0
Folr2,1,0,1,0,1,0,0,0
Fstl1,1,1,0,0,0,0,0,0
Fyb,1,1,0,0,0,0,0,0
Gad1-ps,1,0,0,0,0,0,0,0
Gbp10,1,0,0,0,0,0,0,0
Gbp3,1,0,0,0,0,0,0,0
Gbp5,1,0,0,0,0,0,0,0
Gbp7,1,1,0,0,0,0,1,0
Glt8d2,1,0,0,0,0,1,1,0
Gm10147,1,0,0,0,0,0,0,0
Gm10230,1,0,0,0,0,0,0,0
Gm10410,1,0,0,0,0,0,0,0
Gm10488,1,0,0,0,0,0,0,0
Gm10591,1,0,0,0,0,0,0,0
Gm12250,1,0,0,0,0,0,1,0
Gm13304,1,0,0,0,0,0,0,0
Gm14525,1,0,0,0,0,0,0,0
Gm14598,1,0,0,0,0,0,0,0
Gm14625,1,0,0,0,0,0,0,0
Gm15584,1,0,0,0,0,0,0,0
Gm16381,1,0,0,0,0,0,0,0
Gm1987,1,0,0,0,0,0,0,0
Gm2005,1,0,0,0,0,0,0,0
Gm2030,1,0,0,0,0,0,0,0
Gm2035,1,0,0,0,0,0,0,0
Gm20794,1,0,0,0,0,0,0,0
Gm21188,1,0,0,0,0,0,0,0
Gm21405,1,0,0,0,0,0,0,0
Gm21451,1,0,0,0,0,0,0,0
Gm21541,1,0,0,0,0,0,0,0
Gm21737,1,0,0,0,0,0,0,0
Gm21975,1,1,0,0,0,0,0,0
Gm22154,1,0,0,0,0,0,0,0
Gm22290,1,0,0,0,0,0,0,0
Gm22368,1,0,0,0,0,0,0,0
Gm22577,1,0,0,0,0,0,0,0
Gm22586,1,0,0,0,0,0,0,0
Gm22685,1,0,0,0,0,0,0,0
Gm22723,1,0,0,0,0,0,0,0
Gm22866,1,0,0,0,0,0,0,0
Gm22962,1,0,0,0,0,0,0,0
Gm23040,1,0,0,0,1,0,0,0
Gm2318,1,0,0,0,0,0,0,0
Gm23306,1,0,0,0,0,0,0,0
Gm23422,1,0,0,0,0,0,0,0
Gm23474,1,0,0,0,0,0,0,0
Gm23600,1,0,0,0,0,0,0,0
Gm23601,1,0,0,0,0,0,0,0
Gm23647,1,0,0,0,0,0,0,0
Gm23830,1,0,0,0,0,0,0,0
Gm23981,1,0,0,0,0,0,0,0
Gm24013,1,0,0,0,0,0,0,0
Gm24089,1,0,0,0,0,0,0,0
Gm24142,1,0,0,0,0,0,0,0
Gm24257,1,0,0,0,0,0,0,0
Gm24598,1,0,0,0,0,0,0,0
Gm24840,1,0,0,0,0,0,0,0
Gm25281,1,0,0,0,0,0,0,0
Gm25357,1,0,0,0,0,0,0,0
Gm25401,1,0,0,0,0,0,0,0
Gm25974,1,0,0,0,0,0,0,0
Gm26011,1,0,0,0,0,0,0,0
Gm26425,1,0,0,0,0,0,0,0
Gm2768,1,0,0,0,0,0,0,0
Gm3159,1,0,0,0,0,0,0,0
Gm4951,1,0,0,0,1,0,1,0
Gm5169,1,0,0,0,0,0,0,0
Gm5431,1,0,0,0,0,0,0,0
Gm7104,1,0,0,0,0,0,0,0
Gm7391,1,0,0,0,0,0,0,0
Gm7398,1,0,0,0,0,0,0,0
Gm7762,1,0,0,0,0,0,0,0
Gm8814,1,0,0,0,0,0,0,0
Gm8979,1,0,0,0,0,0,0,0
Gm8989,1,0,0,0,0,0,0,0
Gm8995,1,0,0,0,0,0,0,0
Gm906,1,0,0,0,0,0,0,0
Gnal,1,0,0,0,0,0,1,0
Hacd4,1,0,0,0,0,0,0,0
Has2,1,0,0,0,0,0,0,0
Herc6,1,0,0,0,1,0,1,0
Hist1h2bb,1,0,0,0,0,0,1,0
Hmha1,1,0,1,0,0,0,0,0
Hpse,1,0,0,0,0,0,0,0
Htra1,1,0,0,0,0,0,1,0
Ifi203,1,1,0,0,0,0,0,0
Ifi204,1,1,1,0,0,0,0,0
Ifi44,1,0,0,0,0,0,1,0
Ifit1,1,0,0,0,1,0,1,0
Ifitm3,1,0,0,0,1,0,0,0
Ighv1-19,1,0,0,0,0,0,0,0
Ighv9-2,1,0,0,0,0,0,0,0
Igk-V1,1,0,0,0,0,0,0,0
Igkv1-110,1,0,0,0,0,0,0,0
Igkv1-117,1,1,1,0,0,0,0,0
Igk-V5,1,0,0,0,0,0,0,0
Igsf10,1,0,0,0,0,0,0,0
Igtp,1,0,0,0,0,0,1,0
Iigp1,1,1,0,0,1,0,0,0
Il1r2,1,1,0,0,0,1,0,0
Itgam,1,0,0,0,0,0,0,0
Kdelc2,1,1,0,0,0,0,1,0
Kdelr3,1,0,0,0,0,0,0,0
Kmo,1,0,0,0,1,0,0,0
Lair1,1,0,0,0,0,0,0,0
Lctl,1,0,0,0,0,1,0,0
Lep,1,0,0,0,0,1,1,0
LOC100041504,1,0,0,0,0,0,0,0
Loxl2,1,0,0,0,0,0,0,0
Lpar4,1,0,0,0,0,0,1,0
Lrrc17,1,0,0,0,0,0,0,0
Lum,1,0,0,0,0,0,0,0
Ly86,1,1,0,0,1,0,0,1
Lyz2,1,0,0,0,0,0,0,0
