GeneSymbol,ArrayNostre,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE55934_Adre_10d,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d
Aldh3b2,1,0,0,1,0,1,1,0
43891,0,1,0,0,0,1,1,0
1110032A03Rik,0,1,1,0,1,0,1,0
1190005I06Rik,0,0,0,1,0,1,0,0
43893,0,0,0,0,1,0,0,0
Myh4,0,0,0,0,0,1,0,0
Ucp1,1,1,1,1,1,1,1,1
1110008P14Rik,0,1,0,0,1,1,1,1
Cisd3b,1,1,0,0,1,0,0,0
0610012G03Rik,0,1,0,0,1,1,1,0
3110021A11Rik,0,0,1,0,0,0,0,0
1700037H04Rik,0,1,0,1,1,0,1,1
43895,0,0,0,0,1,0,1,0
Fam131c,0,0,0,0,0,1,1,0
Fabp3,0,1,1,1,0,1,1,0
Entpd4,1,1,1,0,1,1,1,0
1110001J03Rik,1,1,0,0,0,1,1,0
4931406C07Rik,0,1,1,1,1,1,1,1
1700056E22Rik,0,0,0,1,0,1,0,0
44081,0,0,0,0,1,0,0,0
Elovl3,1,1,1,1,0,1,1,1
2010003K11Rik,0,1,0,1,0,1,1,1
1810021B22Rik,0,0,0,1,1,0,0,0
44082,0,0,0,0,1,0,0,0
Car14,1,0,0,0,0,1,1,0
Slc27a2,1,1,1,1,0,0,1,1
2310069B03Rik,1,1,0,0,0,0,0,1
Pim3,1,1,0,1,0,0,0,0
A530053G22Rik,0,1,1,0,1,0,0,0
2010001E11Rik,0,0,0,1,0,0,0,0
44083,0,0,0,0,1,0,1,0
CR936839.1,0,0,0,0,0,1,0,0
Kng2,1,0,0,0,0,0,1,1
Sucla2,1,1,1,0,1,1,1,1
Abcd3,0,1,1,0,0,1,1,0
44084,0,0,0,0,1,0,0,0
Col10a1,0,0,0,0,0,1,1,0
Dio2,1,0,0,1,1,1,1,1
5830403F22Rik,0,0,0,0,1,0,0,1
Phospho1,1,1,0,0,1,1,1,1
