ID,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE74899_14d,GSE86338_C,GSE86338_A,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d,GSE148361
R-MMU-168249,1,1,0,1,0,1,0,0,0,1
mmu04145,1,1,0,1,1,1,0,0,0,0
mmu04514,1,1,0,1,1,1,0,0,0,0
R-MMU-168256,1,1,0,1,0,1,0,0,0,0
mmu04640,1,1,0,1,0,1,0,0,0,0
mmu04662,1,1,0,1,0,1,0,0,0,0
mmu05152,0,1,0,1,0,1,0,0,0,1
mmu05416,1,1,0,1,0,1,0,0,0,0
R-MMU-1280218,1,1,0,1,0,1,0,0,0,0
mmu05330,1,1,0,1,0,1,0,0,0,0
mmu05332,1,1,0,1,0,1,0,0,0,0
mmu04940,1,1,0,1,0,1,0,0,0,0
mmu04672,1,1,0,1,0,1,0,0,0,0
R-MMU-983695,1,1,0,1,0,1,0,0,0,0
mmu05340,1,1,0,1,0,1,0,0,0,0
mmu05323,1,1,0,1,0,1,0,0,0,0
mmu04061,0,1,0,1,0,1,0,0,0,1
R-MMU-5690714,1,1,0,1,0,1,0,0,0,0
mmu04064,1,1,0,0,0,1,0,0,0,1
mmu04060,0,1,0,1,0,1,0,0,0,1
R-MMU-198933,1,1,0,1,0,1,0,0,0,0
R-MMU-977606,1,0,0,1,1,1,0,0,0,0
mmu05133,1,0,0,1,1,1,0,0,0,0
mmu04610,0,0,0,1,1,1,1,0,0,0
mmu05169,1,1,0,1,0,0,0,0,0,0
mmu04612,1,1,0,1,0,0,0,0,0,0
mmu04670,1,1,0,1,0,0,0,0,0,0
mmu04062,0,1,0,1,0,0,0,0,0,1
mmu05166,1,1,0,1,0,0,0,0,0,0
mmu05140,0,1,0,1,0,1,0,0,0,0
mmu05168,1,1,0,1,0,0,0,0,0,0
mmu04660,1,1,0,1,0,0,0,0,0,0
mmu05164,1,1,0,1,0,0,0,0,0,0
mmu04380,0,1,0,1,0,1,0,0,0,0
R-MMU-6798695,0,1,0,1,0,1,0,0,0,0
mmu05320,1,1,0,1,0,0,0,0,0,0
R-MMU-983705,1,1,0,1,0,0,0,0,0,0
mmu04933,0,1,0,1,1,0,0,0,0,0
mmu04659,1,1,0,1,0,0,0,0,0,0
mmu05145,0,1,0,1,0,1,0,0,0,0
mmu04625,1,1,0,0,0,1,0,0,0,0
R-MMU-388841,1,1,0,1,0,0,0,0,0,0
R-MMU-380108,0,1,0,0,0,1,0,0,0,1
R-MMU-2029480,0,1,0,1,0,1,0,0,0,0
R-MMU-202403,1,1,0,1,0,0,0,0,0,0
R-MMU-109582,0,1,0,1,0,1,0,0,0,0
mmu05310,0,1,0,1,0,1,0,0,0,0
mmu05321,0,1,0,1,0,1,0,0,0,0
mmu04658,1,1,0,1,0,0,0,0,0,0
R-MMU-166663,0,1,0,1,1,0,0,0,0,0
R-MMU-202433,1,1,0,1,0,0,0,0,0,0
mmu04650,1,1,0,1,0,0,0,0,0,0
mmu05322,0,1,0,1,0,1,0,0,0,0
mmu05150,0,1,0,1,0,1,0,0,0,0
R-MMU-202427,1,1,0,1,0,0,0,0,0,0
R-MMU-416700,1,0,0,1,0,1,0,0,0,0
R-MMU-5173214,0,0,1,0,1,1,0,0,0,0
R-MMU-166658,0,0,0,1,1,1,0,0,0,0
R-MMU-373076,0,0,0,1,0,1,0,0,0,1
R-MMU-381426,0,0,0,1,1,1,0,0,0,0
mmu04512,0,0,0,1,1,1,0,0,0,0
R-MMU-174577,0,0,0,1,1,1,0,0,0,0
R-MMU-8957275,0,0,0,1,1,1,0,0,0,0
mmu05163,1,1,0,0,0,0,0,0,0,0
mmu05170,1,1,0,0,0,0,0,0,0,0
mmu04666,0,1,0,1,0,0,0,0,0,0
R-MMU-76002,0,1,0,1,0,0,0,0,0,0
mmu05203,1,1,0,0,0,0,0,0,0,0
mmu04668,1,1,0,0,0,0,0,0,0,0
R-MMU-397014,0,1,0,0,0,1,0,0,0,0
mmu05235,1,1,0,0,0,0,0,0,0,0
R-MMU-389948,0,1,0,1,0,0,0,0,0,0
mmu05200,0,1,0,0,1,0,0,0,0,0
R-MMU-2029482,0,1,0,1,0,0,0,0,0,0
mmu05135,1,1,0,0,0,0,0,0,0,0
mmu04611,0,1,0,1,0,0,0,0,0,0
R-MMU-114604,0,1,0,1,0,0,0,0,0,0
mmu04664,0,1,0,1,0,0,0,0,0,0
mmu04210,1,1,0,0,0,0,0,0,0,0
