ID,ArrayNostre,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE55934_Adre_10d,GSE74899_14d,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d
R-MMU-2022090,1,0,0,0,0,0,0,0,0
mmu04061,1,0,1,0,0,0,0,0,0
R-MMU-1474290,1,0,0,0,0,0,0,0,0
R-MMU-1474244,1,0,0,0,0,0,1,0,0
R-MMU-380108,1,0,1,0,0,0,0,0,0
R-MMU-8948216,1,0,0,0,0,0,0,0,0
mmu04974,1,0,0,0,0,0,0,0,0
mmu04062,1,0,1,0,0,0,0,0,0
R-MMU-1650814,1,0,0,0,0,0,0,0,0
mmu04060,1,0,1,0,0,0,0,0,0
mmu04064,1,1,1,0,0,0,0,0,0
R-MMU-168249,1,1,1,0,1,0,0,0,0
mmu05152,1,0,1,0,0,0,0,0,0
R-MMU-375276,1,0,0,0,0,0,0,0,0
R-MMU-373076,1,0,0,0,0,0,0,0,0
R-MMU-168256,0,1,1,0,0,0,0,0,0
mmu05340,0,1,1,0,0,0,0,0,0
R-MMU-1280218,0,1,1,0,0,0,0,0,0
mmu04660,0,1,1,0,0,0,0,0,0
mmu05416,0,1,1,0,0,0,0,0,0
mmu05169,0,1,1,0,0,0,0,0,0
mmu04514,0,1,1,0,0,0,0,0,0
mmu05166,0,1,1,0,0,0,0,0,0
R-MMU-202403,0,1,1,0,0,0,0,0,0
mmu04612,0,1,1,0,0,0,0,0,0
mmu04145,0,1,1,0,1,0,0,0,0
mmu05170,0,1,1,0,0,0,0,0,0
mmu05235,0,1,1,0,0,0,0,0,0
R-MMU-72203,0,1,0,0,0,0,0,0,0
R-MMU-72202,0,1,0,0,0,0,0,0,0
R-MMU-202427,0,1,1,0,0,0,0,0,0
R-MMU-159236,0,1,0,0,0,0,0,0,0
mmu04662,0,1,1,0,0,0,0,0,0
mmu04640,0,1,1,0,0,0,0,0,0
mmu05330,0,1,1,0,0,0,0,0,0
R-MMU-198933,0,1,1,0,0,0,0,0,0
R-MMU-202433,0,1,1,0,0,0,0,0,0
mmu05215,0,1,0,0,0,0,0,0,0
mmu05168,0,1,1,0,0,0,0,0,0
mmu04658,0,1,1,0,0,0,0,0,0
mmu05332,0,1,1,0,0,0,0,0,0
R-MMU-8953854,0,1,0,0,0,0,0,0,0
mmu04621,0,1,0,0,0,0,0,0,0
mmu03040,0,1,0,0,0,0,0,0,0
mmu05135,0,1,1,0,0,0,0,0,0
mmu04672,0,1,1,0,0,0,0,0,0
R-MMU-73856,0,1,0,0,0,0,0,0,0
mmu05163,0,1,1,0,0,0,0,0,0
mmu05164,0,1,1,0,0,0,0,0,0
R-MMU-72187,0,1,0,0,0,0,0,0,0
mmu04670,0,1,1,0,0,0,0,0,0
mmu05320,0,1,1,0,0,0,0,0,0
mmu04940,0,1,1,0,0,0,0,0,0
mmu04210,0,1,1,0,0,0,0,0,0
R-MMU-2424491,0,1,0,0,0,0,0,0,0
mmu05323,0,1,1,0,0,0,0,0,0
mmu05202,0,1,0,0,0,0,0,0,0
