ID,ArrayNostre,GSE13432_7d,GSE13432_35d,GSE51080_10d,GSE55934_Adre_10d,GSE98132_Adre_3d,GSE108077_7d,GSE110420_10d
mmu01100,1,1,1,1,1,1,1,1
R-MMU-1430728,1,1,1,1,1,1,1,1
R-MMU-1428517,1,1,1,1,1,1,1,1
R-MMU-71406,1,1,1,1,1,1,1,1
mmu01200,1,1,1,1,1,1,1,1
R-MMU-8978868,1,1,1,1,1,1,1,1
mmu04714,1,1,1,1,1,1,1,1
R-MMU-71403,1,1,1,0,1,1,1,1
mmu00190,1,1,1,0,1,1,1,1
mmu00020,1,1,1,1,1,1,1,1
mmu04932,1,1,1,0,1,1,1,1
mmu05012,1,1,1,0,1,1,1,1
R-MMU-556833,1,1,1,1,1,1,1,1
mmu05016,1,1,1,0,1,1,1,1
mmu01212,1,1,1,1,1,1,1,1
R-MMU-77289,1,1,1,1,1,1,1,1
mmu03320,1,1,1,1,1,1,1,1
mmu05010,1,1,1,0,1,1,1,1
mmu00640,1,1,1,1,1,1,1,1
mmu04922,1,1,1,1,1,1,1,1
mmu04931,1,1,1,0,1,0,0,1
mmu00630,1,1,1,0,1,1,1,0
R-MMU-163200,1,1,1,0,1,1,1,1
mmu04152,1,1,1,1,1,0,1,1
mmu00010,1,1,1,1,1,1,1,1
mmu01230,1,1,1,0,1,1,1,0
R-MMU-611105,1,1,1,0,1,1,1,0
R-MMU-70268,1,1,1,1,1,1,1,1
mmu00062,1,1,1,1,1,1,1,1
mmu04260,1,1,1,0,1,1,1,1
mmu01040,1,1,1,0,0,1,1,0
mmu00071,1,1,1,1,0,1,1,1
R-MMU-8963693,1,0,0,0,0,0,1,0
R-MMU-5362517,1,1,1,1,1,1,1,1
R-MMU-390918,1,1,1,1,0,1,1,0
R-MMU-389661,1,1,1,1,1,1,1,1
R-MMU-204174,1,1,1,1,1,1,1,1
mmu04920,1,1,0,0,1,0,0,1
R-MMU-6799198,1,1,1,0,1,1,1,0
mmu01210,1,1,1,0,1,1,1,0
R-MMU-9609507,1,1,1,1,0,1,1,0
R-MMU-77286,1,1,1,1,1,1,1,1
mmu00620,1,1,1,1,1,1,1,1
R-MMU-9033241,1,1,1,1,0,1,1,0
mmu04723,1,1,0,0,1,1,1,0
R-MMU-390247,1,1,0,0,0,0,1,0
R-MMU-77305,1,1,1,1,1,1,1,1
R-MMU-1483213,1,0,0,0,0,0,0,0
R-MMU-200425,1,1,1,0,0,1,1,1
mmu00380,1,1,1,1,0,1,0,0
R-MMU-189451,1,0,0,0,0,0,1,0
R-MMU-77285,0,1,1,0,1,1,1,1
R-MMU-77310,0,1,1,0,1,1,1,1
R-MMU-77350,0,1,1,0,1,1,1,1
R-MMU-75105,0,1,0,0,1,1,1,1
R-MMU-75876,0,1,0,0,0,0,1,1
R-MMU-1483206,0,1,0,1,1,1,1,1
mmu00280,0,1,1,1,1,1,1,1
mmu00051,0,1,0,0,1,1,1,1
mmu05230,0,1,1,0,1,1,1,1
R-MMU-5368287,0,1,0,0,1,0,1,0
R-MMU-5419276,0,1,0,0,1,0,1,0
R-MMU-5389840,0,1,0,0,1,0,1,0
mmu04146,0,1,1,1,0,1,1,0
R-MMU-1592230,0,0,0,0,1,1,1,0
R-MMU-382551,0,0,0,0,0,0,1,0
R-MMU-72766,0,0,0,0,0,0,1,0
R-MMU-70263,0,1,0,0,1,1,1,0
R-MMU-163210,0,0,0,0,1,1,1,0
R-MMU-8949613,0,0,0,0,1,1,1,0
R-MMU-163685,0,0,0,0,1,0,1,0
R-MMU-163765,0,0,0,0,1,0,1,0
R-MMU-77346,0,1,1,0,1,1,1,0
R-MMU-71291,0,1,1,0,0,0,1,0
R-MMU-382556,0,0,0,0,0,0,1,0
R-MMU-196854,0,1,0,0,0,0,1,0
R-MMU-70326,0,1,0,0,1,1,1,0
mmu00061,0,1,0,0,0,0,1,0
R-MMU-77348,0,1,1,0,1,1,1,0
R-MMU-8949664,0,0,0,0,0,0,1,0
R-MMU-1483257,0,1,0,1,1,0,1,0
R-MMU-5578775,0,0,0,0,0,0,1,0
R-MMU-8949215,0,0,0,0,0,0,1,0
R-MMU-196849,0,1,1,0,0,0,1,0
R-MMU-1234176,0,0,0,0,0,0,1,0
R-MMU-69615,0,0,0,0,0,0,1,0
R-MMU-418346,0,0,0,0,1,0,1,0
mmu04964,0,0,0,0,0,0,1,0
R-MMU-191273,0,1,0,0,0,1,1,0
R-MMU-389599,0,1,0,0,0,1,1,0
R-MMU-180024,0,0,0,0,1,0,1,0
mmu04020,0,0,0,0,1,0,1,0
R-MMU-1234174,0,0,0,0,0,0,1,0
R-MMU-69563,0,0,0,0,0,0,1,0
R-MMU-69580,0,0,0,0,0,0,1,0
mmu00030,0,1,0,0,1,1,1,0
R-MMU-189445,0,0,0,0,0,0,1,0
R-MMU-450408,0,0,0,0,0,0,1,0
mmu00100,0,0,0,0,0,0,1,0
mmu04022,0,0,0,0,1,0,1,0
R-MMU-69202,0,0,0,0,0,0,1,0
R-MMU-75815,0,0,0,0,0,0,1,0
R-MMU-187577,0,0,0,0,0,0,1,0
mmu00561,0,0,0,0,1,0,1,0
R-MMU-5607761,0,0,0,0,0,0,1,0
R-MMU-5676590,0,0,0,0,0,0,1,0
R-MMU-69601,0,0,0,0,0,0,1,0
R-MMU-69610,0,0,0,0,0,0,1,0
R-MMU-69613,0,0,0,0,0,0,1,0
R-MMU-5673001,0,0,0,0,0,0,1,0
R-MMU-69656,0,0,0,0,0,0,1,0
R-MMU-111885,0,0,0,0,1,0,1,0
mmu04066,0,1,0,0,1,1,1,0
R-MMU-68827,0,0,0,0,0,0,1,0
mmu00230,0,0,0,0,1,0,1,0
R-MMU-5675221,0,0,0,0,1,0,1,0
R-MMU-381676,0,0,0,0,0,0,1,0
R-MMU-5684996,0,0,0,0,0,0,1,0
R-MMU-2046104,0,1,0,0,0,0,1,0
R-MMU-2046106,0,1,0,0,0,0,1,0
