Transcript_Cluster_ID,Gene_Symbol,iB_UP,iB_DW,iW_UP,iW_DW,eW_UP,eW_DW,iBAT_FC,iWAT_FC,eWAT_FC
17243761,Fabp3-ps1,1,0,1,0,0,0,2.62,26.38,-1.14
17502899,Ucp1,0,0,1,0,1,0,1.19,22.15,4.92
17359918,Elovl3,1,0,1,0,0,0,4.69,20.39,1.73
17255458,Phospho1; Zfp652,1,0,1,0,1,0,2.99,10.79,2.2
17476288,Cox7a1,0,0,1,0,1,0,1.38,9.62,2.07
17543045,Gyk,0,0,1,0,0,0,1.9,9.58,2.2
17329361,Kng2,1,0,1,0,0,0,2.86,9.34,1.55
17475360,Cyp2b10,1,0,1,0,0,0,8.73,7.97,1.63
17427860,Acot11,0,0,1,0,0,0,1.97,7.59,1.29
17282970,Dio2,0,0,1,0,0,0,1.1,7.04,1.28
17320499,Chkb; Cpt1b; BC090627,0,0,1,0,0,0,1.21,6.33,1.36
17297750,Ppif,0,0,1,0,0,0,1.94,5.8,1.73
17464654,Pdk4,0,0,1,0,0,0,1.08,5.51,1.56
17315033,Letmd1,0,0,1,0,0,0,1.47,5.38,1.29
17432256,Slc25a34,1,0,1,0,0,0,12.42,5.26,1.15
17335540,Pim1,0,0,1,0,0,0,1.03,4.59,1.12
17448001,Ppargc1a,0,0,1,0,0,0,1.96,4.59,1.94
17231571,B430219N15Rik,1,0,1,0,1,0,2.66,4.58,2.25
17375701,Slc27a2,0,0,1,0,0,0,1.17,4.57,1.14
17359466,Pgam1,1,0,1,0,0,0,4.83,4.36,1.34
17468043,2310069B03Rik,1,0,1,0,0,0,5.04,4.31,1.09
17364150,Pank1,0,0,1,0,0,0,1.68,4.29,1.57
17422907,2310042D19Rik,1,0,1,0,0,0,3.39,4.28,1.06
17435811,Kcnk3,0,0,1,0,0,0,1.57,4.17,1.51
17227198,Lgr6,1,0,1,0,0,0,4.1,4.14,1.06
17437097,Otop1,0,0,1,0,0,0,1.35,4.13,1.3
17346136,Plin5,0,0,1,0,0,0,1.16,3.9,1.12
17234436,Chchd10,0,0,1,0,1,0,1.56,3.86,2.67
17392690,Acss1,0,0,1,0,0,0,1.68,3.69,1.11
17462430,Tuba8,0,0,1,0,0,0,1.84,3.66,1.7
17277134,Acot2,0,0,1,0,0,0,1.87,3.65,1.52
17224540,Tuba4a,0,0,1,0,0,0,1.76,3.62,1.81
17351446,Impa2,1,0,1,0,0,0,2.54,3.55,1.08
17329220,Ehhadh,0,0,1,0,0,0,1.92,3.54,1.58
17313862,Ppara,0,0,1,0,0,0,-1.13,3.52,1.19
17360462,Acsl5,1,0,1,0,0,0,2.2,3.43,1.04
17301514,Gm10032,0,0,1,0,0,0,1.06,3.4,-1.44
17224125,Mreg,1,0,1,0,0,0,3.54,3.27,1.12
17266335,Traf4,1,0,1,0,0,0,2.17,3.23,1.71
17472497,Gys2,0,0,1,0,1,0,1.45,3.2,3.67
17509976,Slc25a42,0,0,1,0,0,0,1.44,3.14,1.02
17371427,Dhrs9,1,0,1,0,0,0,4.21,3.12,1.18
17472517,Ldhb,0,0,1,0,0,0,1.13,3.11,1.3
17521875,Slc25a20,0,0,1,0,0,0,1.37,3.09,1.5
17497904,Slc25a22,0,0,1,0,1,0,1.74,3.08,2.62
17290603,Actn2,0,0,0,0,0,0,1.13,3.07,1.01
17497704,Cox8b,0,0,1,0,1,0,-1.01,3.05,4.32
17354759,A530050N04Rik,0,0,1,0,0,0,1.82,3.03,-1.01
17265129,Acadvl,0,0,1,0,0,0,1.09,3.02,1.57
17496211,Atp2a1,0,0,0,0,0,0,-1.69,3.01,1.1
17517727,Cox5a,0,0,1,0,0,0,1.21,2.97,1.4
17350267,Myot,0,0,0,0,0,0,-1.42,2.96,-1.58
17329627,Cpn2,0,0,1,0,0,0,1.72,2.94,1.03
17306867,Cideb,0,0,1,0,0,0,1.19,2.92,-1.55
17548916,Acadl,0,0,1,0,0,0,1.21,2.91,1.59
17483133,Fam57b,1,0,1,0,0,0,2.42,2.9,1.78
17423622,Tstd3,0,0,1,0,0,0,1.89,2.89,1.24
17407956,Car14,1,0,1,0,0,0,2.08,2.89,1.17
17333292,Slc22a2,0,0,1,0,0,0,-1.01,2.88,1.08
17279277,Aspg,1,0,1,0,0,0,2.09,2.88,1.27
17441622,n-R5s176,0,0,0,0,0,0,1.48,2.88,1.17
17447150,Letm1,1,0,1,0,0,0,2.4,2.87,1.76
17518616,Rbpms2; Gm3470,0,0,1,0,0,0,1.49,2.87,1.49
17286973,Gmpr,1,0,1,0,0,0,8.6,2.84,1.01
17312396,Cyc1,0,0,1,0,0,0,1.19,2.82,1.7
17268010,Acsf2; Gm5540,0,0,1,0,0,0,1.66,2.81,1.93
17351457,Cidea,0,0,1,0,1,0,-1.01,2.81,2.64
17480729,Ucp3,0,0,1,0,0,0,1.46,2.81,1.67
17462145,8430408G22Rik,1,0,1,0,0,0,5.58,2.79,2.37
17502233,Slc27a1,0,0,1,0,1,0,1.2,2.77,2.75
17428731,Hpdl,1,0,1,0,0,0,2.73,2.76,1.21
17270193,Slc25a39,1,0,1,0,0,0,2.55,2.76,1.46
17268120,Pdk2,0,0,1,0,0,0,1.56,2.74,1.76
17247080,Ogdh,0,0,1,0,0,0,1.11,2.74,1.27
17264107,Cox10,0,0,1,0,0,0,1.5,2.73,1.37
17256388,Ttc25,1,0,1,0,0,0,2.69,2.72,1.76
17267066,Dhrs11,0,0,1,0,0,0,1.8,2.7,1.22
17424279,Cntfr,1,0,1,0,0,0,6.05,2.7,-1.01
17364932,Got1,1,0,1,0,0,0,4.18,2.67,1.67
17251527,Per1,0,0,1,0,0,0,2.54,2.66,1.85
17521996,Uqcrc1,0,0,1,0,0,0,1.06,2.66,1.5
17377816,Mylk2,0,0,0,0,0,0,-1.15,2.66,1.2
17364954,Cox15,0,0,1,0,0,0,1.59,2.65,1.26
17365803,Nrap,0,0,0,0,0,0,-1.24,2.65,-1.11
17351811,Acaa2,0,0,1,0,0,0,-1.16,2.63,1.4
17467062,Inmt,1,0,1,0,0,0,3.07,2.62,1.23
17483733,Bag3,1,0,1,0,0,0,2.27,2.61,1.4
17318428,Oplah,0,0,1,0,0,0,1.42,2.55,1.28
17500543,Ppp1r3b,0,0,0,0,0,0,1.01,2.53,1.2
17516950,,0,0,0,0,0,0,1.08,2.53,-1.2
17322545,Dnaja3,0,0,1,0,0,0,1.64,2.51,1.36
17520416,Paqr9,0,0,1,0,0,0,1.63,2.5,1.49
17487395,Tomm40,0,0,1,0,0,0,1.35,2.5,1.31
17260474,Igfbp3,0,0,1,0,0,0,1.92,2.5,1.14
17241676,1700040L02Rik,1,0,1,0,0,0,2.46,2.49,1.88
17406091,Etfdh,0,0,1,0,0,0,1.08,2.49,1.34
17388756,Pdhx,0,0,1,0,0,0,1.27,2.48,1.71
17441490,Fbxo21,0,0,1,0,1,0,-1.09,2.48,2.07
17359678,Scd3,1,0,1,0,1,0,5.18,2.48,2.24
17517770,Cyp1a1,0,0,1,0,0,0,1.51,2.48,1.71
17234494,S100b,1,0,1,0,0,0,2.05,2.46,1.28
17404152,,0,0,1,0,0,0,1.56,2.46,1.44
17525363,Foxred1,0,0,1,0,0,0,1.4,2.45,1.5
17273200,Pcyt2,0,0,1,0,0,0,1.37,2.44,1.13
17419754,Pafah2,1,0,1,0,0,0,2.1,2.44,1.45
17324835,Tfrc,0,0,1,0,1,0,1.4,2.42,2.52
17314888,Gpd1,0,0,1,0,0,0,1.44,2.41,1.75
17380199,Rbm38,0,0,1,0,0,0,1.04,2.41,1.73
17287361,Gadd45g,1,0,1,0,0,0,2.03,2.4,-1.32
17296082,Apoo-ps; Apoo,0,0,1,0,0,0,1.1,2.4,1.57
17438832,Slc4a4,0,0,1,0,0,0,1.09,2.4,1.12
17503884,Gnao1,0,0,1,0,0,0,1.26,2.4,-1.29
17459716,Suclg1,0,0,1,0,0,0,1.13,2.39,1.32
17318704,C030006K11Rik,0,0,1,0,0,0,1.37,2.39,1.59
17453347,Gtf2ird1,0,0,1,0,0,0,1.35,2.39,1.28
17507262,Timm44,0,0,1,0,0,0,1.08,2.38,1.44
17319529,Tob2,0,0,1,0,0,0,-1.17,2.37,1.18
17536312,Apoo,0,0,1,0,0,0,1.15,2.37,-1.03
17230408,Adck3,0,0,1,0,0,0,-1.53,2.37,1.52
17352212,Zfp516; Zadh2,0,0,1,0,0,0,1.21,2.36,1.29
17354739,Ppargc1b,0,0,1,0,0,0,1.12,2.35,1.19
17304901,3425401B19Rik,0,0,0,0,0,0,-1.25,2.35,-1.14
17313688,Samm50,0,0,1,0,0,0,1.14,2.34,1.22
17313433,Xrcc6,0,0,1,0,0,0,1.27,2.34,1.37
17526861,Dlat,0,0,1,0,0,0,1.14,2.33,1.83
17306147,Ndrg2,0,0,1,0,0,0,1.25,2.33,1.25
17263594,Atpaf2,0,0,1,0,0,0,1.45,2.33,1.63
17483007,Sbk1,0,0,1,0,0,0,1.71,2.32,1.49
17263673,Shmt1,0,0,1,0,0,0,-1.07,2.32,1.31
17349514,Egr1,0,0,0,0,0,0,1.19,2.31,1.27
17273714,Adcy3,1,0,1,0,0,0,2.66,2.31,1.39
17259929,Mtfp1,0,0,1,0,0,0,1.2,2.31,1.36
17446185,Fastk,0,0,1,0,0,0,1.58,2.31,1.39
17313394,Aco2,0,0,1,0,0,0,1,2.31,1.5
17301502,Adra1a,0,0,1,0,0,0,1.22,2.31,-1.05
17266372,Snord42b,0,0,1,0,0,0,1.62,2.31,1.4
17394578,Gm14267,1,0,1,0,0,0,5.41,2.31,-1.14
17355443,Lipg,0,0,1,0,0,0,1.55,2.31,1.55
17370897,Gpd2,0,0,1,0,1,0,1.02,2.3,2.17
17459591,St3gal5,1,0,1,0,0,0,5.64,2.3,-1.05
17457430,1110001J03Rik; 3110054G05Rik,0,0,1,0,0,0,1.24,2.3,1.43
17301468,Chrna2,1,0,1,0,0,0,2.63,2.3,1.25
17308727,Gm4285,1,0,1,0,0,0,2.28,2.29,1.22
17319453,Slc25a17,0,0,1,0,0,0,1.83,2.29,1.33
17384525,Ndufa8,0,0,1,0,0,0,1.18,2.29,1.26
17545756,Gm15241,1,0,1,0,0,0,8.59,2.29,-1.18
17314577,Pfkm,0,0,1,0,0,0,-1.09,2.28,1.35
17251046,Myh1,0,0,0,0,0,0,-2.33,2.27,1.03
17235320,Reep6,1,0,1,0,0,0,2.83,2.27,1.25
17511887,Ciapin1,0,0,1,0,0,0,1.49,2.26,1.33
17291570,Uqcrfs1,0,0,1,0,0,0,1.4,2.26,1.7
17238433,Cs,0,0,1,0,0,0,1.06,2.26,1.42
17361032,Ndufs8,0,0,1,0,0,0,1.1,2.26,1.52
17443310,Mdh2,0,0,1,0,0,0,1.25,2.26,1.31
17252912,Tlcd2,0,0,1,0,1,0,1.54,2.26,2.02
